BRKNMS-2901,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKNMS-2901.mp4,A Transport Network Modernization Case Study Using EPN
BRKCLD-2012,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKCLD-2012.mp4,Cloud Network Automation with OpenStack Neutron (2016 Las
BRKSAN-3446,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKSAN-3446.mp4,"SAN Congestion!Understanding, Troubleshooting, Mitigating"
BRKCOC-1427,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKCOC-1427.mp4,"Inside Cisco IT: Productivity, Security & Service"
BRKINI-2201,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKINI-2201.mp4,Deploying Cisco UCS in Modern Datacenters (2016 Las Vegas)
BRKUCC-2060,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKUCC-2060.mp4,Cisco Enterprise Mobile Collaboration (2016 Las Vegas)
BRKARC-2022,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKARC-2022.mp4,Introduction to Network Convergence System (NCS6000) (2016
BRKARC-2002,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKARC-2002.mp4,Techniques of a Network Detective (2016 Las Vegas)
BRKCOL-1800,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKCOL-1800.mp4,Overview of Cisco TelePresence Solution and Deployments
BRKSEC-2059,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKSEC-2059.mp4,Deploying ISE in a Dynamic Public Environment (2016 Las
BRKSPG-2505,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKSPG-2505.mp4,cBR-8 Technical Capabilities and DOCSIS 3.1 Migration
BRKACI-2250,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKACI-2250.mp4,Cisco End-to-End Datacenter Security Architecture (2016
BRKDCT-2027,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKDCT-2027.mp4,Software Defined Network Automation Architectures (2016
BRKCOL-2021,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKCOL-2021.mp4,Troubleshooting Collaboration Edge (2016 Las Vegas)
BRKSPG-2210,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKSPG-2210.mp4,Designing Programmable Access Networks (2016 Las Vegas)
BRKSEC-3054,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKSEC-3054.mp4,"IOS FlexVPN Remote Access, IoT and Site-To-Site Advanced"
BRKRST-2337,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKRST-2337.mp4,OSPF Deployment in Modern Networks (2016 Las Vegas)
BRKCRS-2700,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKCRS-2700.mp4,Evolution of the Enterprise Network: the Cisco Digital
BRKSDN-2118,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKSDN-2118.mp4,Simulating networks using Cisco Modeling Labs (2016 Las
BRKCRS-1449,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKCRS-1449.mp4,Enabling 'Security Everywhere' on Enterprise Networks
BRKVIR-2044,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKVIR-2044.mp4,Effective Evolution of the Data Center Virtual Network
BRKSPM-2029,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKSPM-2029.mp4,Optimizing NFV Performance (2016 Las Vegas)
BRKSEC-3004,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKSEC-3004.mp4,Deep Dive on Cisco Security in ACI (2016 Las Vegas)
BRKIOT-2114,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKIOT-2114.mp4,"IoT Analytics Use Cases, Architecture & Approaches: from"
BRKCLD-2024,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKCLD-2024.mp4,Enable Production Container Applications in your
BRKSEC-3032,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKSEC-3032.mp4,ASA Clustering Deep Dive (2016 Las Vegas)
BRKDCT-2025,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKDCT-2025.mp4,Maximizing Network Programmability and Automation with
BRKIOT-2109,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKIOT-2109.mp4,IoT Solutions Connecting Oil and Gas Pipelines (2016 Las
BRKDCT-2378,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKDCT-2378.mp4,VPC Best Practices and Design on NX OS (2016 Las Vegas)
BRKCCT-1005,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKCCT-1005.mp4,Context Service: Cloud-based omnichannel Solution for
BRKEWN-2016,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKEWN-2016.mp4,Branch Office Wireless LAN Design (2016 Las Vegas)
BRKSPM-2028,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKSPM-2028.mp4,Design and Deployment of Overlay Services on LTE Network
BRKDCT-2552,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKDCT-2552.mp4,Cisco One Enterprise Cloud Suite (2016 Las Vegas)
BRKCCT-2130,http://d2zmdbbm9feqrf.cloudfront.net/2016/usa/BRKCCT-2130.mp4,Cisco Recording for Customer Care (2016 Las Vegas)
